,actor1,assoc_actor_1,actor2,assoc_actor_2,collab_events,mon_yr,notes,event_id_cnty,event_id_no_cnty
2703,Protesters (Sudan),Refugees/IDPs (Sudan),,,,2020-12,"On 7 December 2020, thousands of IDPs demonstrated in Kalma IDP Camp in Nyala locality (South Darfur state), calling for UNAMID to remain in Darfur, amid fears of abuses by government forces in the event peacekeepers leave. The demonstrators have begun a sit-in protest. [size=thousands]",SUD14526,14526
2747,Protesters (Uganda),NUP: National Unity Platform,Gov(Uganda),,,2020-12,"On 7 December 2020, a youth group raided the NUP party office in Gulu (Gulu Municipality, Gulu), along Timothy Okee road in Pece-Laroo Division, holding placards denouncing the office leadership. 5 people were arrested by the police. [size=no report]",UGA6389,6389
2969,Protesters (Nigeria),APC: All Progressives Congress,,,,2020-12,"On 7 December 2020, members of APC from Isiuzo Local Government Area staged a demonstration at the Independent National Electoral Commission (INEC) office in Enugu (Enugu North LGA, Enugu) to protest the outcome of the Dec. 5 by-election result in Isiuzo State Constituency. [size=no report]",NIG19119,19119
2994,Protesters (Nigeria),Labour Group (Nigeria),,,,2020-12,"On 7 December 2020, scores of physically challenged persons staged demonstrations at the State Government Secretariat and on major roads leading to the Secretariat in Ibadan (Akinyele LGA, Oyo), to demand more slots in the non-teaching arm of the Oyo State Teaching Service Commission (TESCOM). [size=scores]",NIG19116,19116
3059,Protesters (Algeria),Students (Algeria),,,,2020-12,"On 7 December 2020, dozens of students held a protest sit-in in front of the Abdelhamid Dar Abid high school in Sidi Bel Abbes (Sidi Bel Abbes) to denounce the lack of heaters in their classrooms. [size=dozens]",ALG10005,10005
3474,Protesters (Somalia),Labour Group (Somalia),,,,2020-12,"On 6 December 2020, local residents staged a peaceful protest towards the ministries area in Garowe town (Garoowe, Nugaal), calling on the government to resolve the unfavorable exchange rate of the Somali shillings to the US dollar. The protesters were mainly small and medium-scale traders and casual laborers who have been affected by the exchange rate. [size=no report]",SOM32632,32632
3511,Protesters (Kenya),Women (Kenya),,,,2020-12,"On 6 December 2020, local residents, community and religious organisations marched on the streets carrying placards decrying rampant sexual violence and protested against the rise in defilement in Hindi town (Lamu West, Lamu). They demanded the speedy arrest of a Kenya defense forces officer who is alleged to have married a KCPE candidate from the town. [size=no report]",KEN7600,7600
3912,Protesters (Kenya),Students (Kenya),,,,2020-12,"On 5 December 2020, Chuka university students staged a protest over a proposed fee hike by the university board in Chuka town (Nithi, Tharaka-Nithi). The students vowed to paralyze the university's activities if the ministry of education goes on with the proposed plans which will see tuition fee grow from Sh16,000 to Sh48,000, annually. [size=no report]",KEN7599,7599
4197,Protesters (Uganda),NUP: National Unity Platform,Gov(Uganda),,,2020-12,"Around 4 December 2020 (as reported), NUP supporters protested in Bududa district against the arrest of one of their people, who was accused by the police forces of hurling an explosive at Bobi Wine (the alias of Ssentamu Robert Kyagulanyi). Police dispersed the protest with teargas. [size=no report]",UGA6378,6378
4681,Protesters (Uganda),Women (Uganda),,,,2020-12,"Around 3 December 2020 (as reported), women in Bunyoro protested and demanded action against the destruction of the Bugoma forest through privatization and the selling of the land. Location coded to Hoima. [size=no report]",UGA6376,6376
5100,Protesters (Kenya),Labour Group (Kenya),Gov(Kenya),,,2020-12,"On 3 December 2020, local contractors staged a protest outside the Kisii assembly premises in Kisii town (Nyaribari Chache, Kisii), accusing ward representatives of awarding themselves tenders. The police used teargas to disperse protesting contractors. [size=no report]",KEN7597,7597
5110,Protesters (Nigeria),Gov(Nigeria),,,,2020-12,"On 3 December 2020, Nigerian police officers demonstrated in the streets of Batsari (Batsari LGA, Katsina) to protest against their unpaid allowances. [size=no report]",NIG19072,19072
5116,Protesters (Nigeria),Labour Group (Nigeria),,,,2020-12,"On 3 December 2020, government workers under the aegis of Concerned Unpaid Contractors 2018 of the Federal Ministry of Agriculture and Rural Development staged a demonstration at the headquarters of the Federal Ministry of Finance in Abuja (Abuja Municipal LGA, FCT) to protest their unpaid contract funds by the ministry. [size=no report]",NIG19070,19070
5143,Protesters (Nigeria),Labour Group (Nigeria),,,,2020-12,"On 3 December 2020, truck drivers staged a demonstration at Igbogene toll gate in Yenagoa (Yenegoa LGA, Bayelsa) to protest against the government's multiple levies and alleged harassment by the government's task force. [size=no report]",NIG19081,19081
5434,Protesters (Morocco),CNES: National Coordination of Trainee Teachers; Teachers (Morocco),Gov(Morocco),,,2020-12,"On 2 December 2020, the Moroccan police intervened to disperse a protest march of trainee teachers and members of the National Coordination of Trainee Teachers (CNES) in Rabat (Rabat). Protesters were demanding their recruitment with permanent contracts. [size=no report]",MOR3657,3657
5444,Protesters (Morocco),CNES: National Coordination of Trainee Teachers; Teachers (Morocco),Gov(Morocco),,,2020-12,"On 2 December 2020, the Moroccan police intervened to disperse a protest march of trainee teachers and members of the National Coordination of Trainee Teachers (CNES) in Kenitra (Rabat-Sale-Kenitra, Kenitra). Protesters were demanding their recruitment with permanent contracts. [size=no report]",MOR3654,3654
5511,Protesters (Nigeria),Labour Group (Nigeria),,,,2020-12,"On 2 December 2020, local government council workers staged a protest at the Jos-Abuja Highway around Bukuru (Jos South LGA, Plateau) over the non-implementation of the new minimum wage in the state. [size=no report]",NIG19062,19062
5516,Protesters (Nigeria),Labour Group (Nigeria),,,,2020-12,"On 2 December 2020, local government council workers staged a protest in Quaan Pan LGA (Plateau) over the non-implementation of the new minimum wage in the state. [size=no report]",NIG19060,19060
5526,Protesters (Morocco),CNES: National Coordination of Trainee Teachers; Teachers (Morocco),Gov(Morocco),,,2020-12,"On 2 December 2020, the Moroccan police intervened to disperse a protest march of trainee teachers and members of the National Coordination of Trainee Teachers (CNES) in Marrakech (Marrakech). Protesters were demanding their recruitment with permanent contracts. [size=no report]",MOR3655,3655
5530,Protesters (Mozambique),Labour Group (Mozambique),Gov(Mozambique),,,2020-12,"On 2 December 2020, the Mozambican police forces detained 30 lorry drivers who were staging a protest in Nampula (coded separately), Maputo (Maputo), and Sofala (coded separately) provinces. The drivers were staging protests to demand better working conditions, better payment and formal recognition. The lorry drivers left their vehicles by the roadside in protest, and the police might have seen this action as blocking the road. [size=no report]",MZM1971,1971
5531,Protesters (Mozambique),Labour Group (Mozambique),Gov(Mozambique),,,2020-12,"On 2 December 2020, the Mozambican police forces detained 30 lorry drivers who were staging a protest in Sofala (coded separately), Nampula (Nampula), Maputo (coded separately), provinces. The drivers were staging protests to demand better working conditions, better payment and formal recognition. The lorry drivers left their vehicles by the roadside in protest, and the police might have seen this action as blocking the road. [size=no report]",MZM1972,1972
5535,Protesters (Mozambique),Labour Group (Mozambique),Gov(Mozambique),,,2020-12,"On 2 December 2020, the Mozambican police forces detained 30 lorry drivers who were staging a protest in Maputo (coded separately), Nampula (coded separately) and Sofala (Sofala) provinces. The drivers were staging protests to demand better working conditions, better payment and formal recognition. The lorry drivers left their vehicles by the roadside in protest, and the police might have seen this action as blocking the road. [size=no report]",MZM1973,1973
5756,Protesters (Nigeria),Labour Group (Nigeria),,,,2020-12,"On 2 December 2020, staff members of Access Bank staged a demonstration in front of the Head Office in Victoria Island (Eti-Osa LGA, Lagos) to protest lay-offs and the non-payment of wages. [size=no report]",NIG19068,19068
5760,Protesters (Nigeria),Teachers (Nigeria); Students (Nigeria),,,,2020-12,"On 2 December 2020, the academic staff and students of Igbinedion University staged demonstrations on Mission Road and other major roads in Benin City (Oredo LGA, Edo) to protest against the non-payment of wages and other stipends. [size=no report]",NIG19061,19061
5831,Protesters (Algeria),Students (Algeria),,,,2020-12,"On 1 December 2020, students at the University Alger 3 held a protest sit-in in Dely Ibrahim (Alger, Cheraga) to demand the release of student and Hirak activist, Kais Ould Ammar. [size=no report]",ALG9962,9962
6161,Protesters (Somalia),Labour Group (Somalia),,,,2020-12,"On 1 December 2020, over a hundred people, including business people, demonstrated against the rise in the inflation rate in Gaalkacyo North town (Bossaso, Bari). The protest comes after Somalia's currency (money) was rejected by the business centers and the US dollar prize increased. The current rate of exchange is about 1 dollar to 44,000 Somali shillings. [size=over a hundred]",SOM32582,32582
6443,Protesters (Somalia),Labour Group (Somalia),,,,2020-11,"On 30 November 2020, local business people protested against the fluctuations and loss in value of the Somali shilling to the US dollar in Garowe town (Garoowe, Nugaal). The Enji Market center was closed due to the low exchange rate. [size=no report]",SOM32572,32572
6626,Protesters (Nigeria),Farmers (Nigeria),,,,2020-11,"Around 30 November 2020 (as reported), over 100 farmers and residents of Ndiowu staged demonstrations at the Government House and House of Assembly in Awka (Awka South LGA, Anambra) to protest against the unconstitutional imposition of a caretaker committee in Ndiowu Town Union. [size=over 100]",NIG19044,19044
7485,Protesters (Angola),CRENTES-PJ: National Revolutionary Citizens for Transformation of the Social Structure-Youth Party,Gov(Angola),,,2020-11,"On 28 November 2020, members of the CRENTES-PJ gathered in the center of Uige (Uige, Uige) in a vigil for the health of its president, recently poisoned. The demonstrators accused the police of beating them. 5 people were arrested, 2 were later released. [size=no report]",ANG3420,3420
7919,Protesters (Zimbabwe),ZANU-PF: Zimbabwe African National Union-Patriotic Front,,,1,2020-11,"On 27 November 2020, ZANU-PF youth marched in Kwekwe (Kwekwe, Midlands) in solidarity with the party's youth leader accused of assault, public violence and murder (coded separately). [size=no report]",ZIM6532,6532
7944,Protesters (Kenya),Students (Kenya),,,,2020-11,"On 27 November 2020, dozens of pupils from Kagio primary school staged a protest at a police station in Kagio town (Gichugu, Kirnyaga), demanding the arrest of their teacher whom they accused of sexual misconduct in the school. [size=dozens]",KEN7580,7580
8269,Protesters (Nigeria),Labour Group (Nigeria),,,,2020-11,"On 27 November 2020, Kwara athletes staged a demonstration at the entrance of the Ministry of Sports and Youth Development in Illorin (Ilorin East LGA, Kwara) to protest the non payments of their camp allowances by the government. [size=no report]",NIG19015,19015
9269,Protesters (Uganda),NUP: National Unity Platform,Gov(Uganda),,,2020-11,"On 25 November 2020, Ugandan police forces fired tear gas at supporters of NUP presidential candidate Robert Kyagulanyi in Kasese (Kasese Municipality, Kasese). [size=no report]",UGA6362,6362
9380,Protesters (Uganda),FDC: Forum for Democratic Change,Gov(Uganda),,,2020-11,"On 25 November 2020, Ugandan police forces fired tear gas to disperse supporters who gathered to see presidential candidate Patrick Oboi Amuriat from the Forum for Democratic Change (FDC) in Arua (Arua Municipality, Arua), with one protester requiring amputation of the hand from damage by a tear gas cannister. [size=no report]",UGA6360,6360
9397,Protesters (Uganda),NUP: National Unity Platform,Gov(Uganda),,,2020-11,"On 25 November 2020, Ugandan police forces fired tear gas and live bullets at supporters of NUP presidential candidate Robert Kyagulanyi in Hoima (Hoima Municipality, Hoima). [size=no report]",UGA6361,6361
9400,Protesters (Uganda),FDC: Forum for Democratic Change,Gov(Uganda),,,2020-11,"On 25 November 2020, Ugandan police forces fired tear gas and live bullets to disperse supporters who gathered to see presidential candidate Patrick Oboi Amuriat from the Forum for Democratic Change (FDC) in Masindi (Masindi Municipality, Masindi). [size=no report]",UGA6363,6363
9413,Protesters (Algeria),Students (Algeria),,,,2020-11,"Around 25 November 2020 (as reported), students and their parents at the Cheikh Bouamrane school held a 7km protest march and a protest sit-in in El Bayadh (El Bayadh) to denounce the lack of infrastructure at their school. [size=no report]",ALG9938,9938
9662,Protesters (Nigeria),Women (Nigeria),,,,2020-11,"On 24 November 2020, women of Oleh community staged a protest in Oleh (Isoko South LGA, Delta) over the murder of twelve inhabitants by yet-to-be-identified gunmen. [size=no report]",NIG18997,18997
10018,Protesters (Nigeria),Farmers (Nigeria),,,,2020-11,"Around 24 November 2020 (as reported), several farmers took to the streets in Egbe (Yagba West LGA, Kogi) to protest against the destruction of their farmlands and crops by herdsmen. [size=several]",NIG18986,18986
10260,Protesters (South Sudan),Students (South Sudan),Gov(South Sudan),,,2020-11,"On 23 November 2020, around 10 students protesting against the suspension and dismissal of fellow students at the University of Juba were beaten by unspecified security forces (presumed to be police, pending further information), with four being arrested. [size=about 10]",SSD7186,7186
10263,Protesters (Uganda),NUP: National Unity Platform,Gov(Uganda),,,2020-11,"On 23 November 2020, Ugandan police forces fired tear gas to disperse crowds that had gathered to meet NUP presidential candidate Robert Kyagulanyi's convoy in Kyegegwa (Kyaka, Kyegegwa). [size=no report]",UGA6359,6359
10782,Protesters (Morocco),CNES: National Coordination of Trainee Teachers; Teachers (Morocco),Gov(Morocco),,,2020-11,"On 22 November 2020, the Moroccan police dispersed a sit-in held by members of the National Coordination of Trainee Teachers (CNES) in Casablanca (Casablanca). Protesters were demanding to be recruited with permanent contracts. [size=no report]",MOR3597,3597
11018,Protesters (Algeria),Students (Algeria),,,,2020-11,"On 21 November 2020, university students from Adrar held a protest sit-in in Ben Aknoun (Alger, Bouzareah) to denounce the absence of transport buses to their home provinces provided by the university. [size=no report]",ALG9912,9912
11532,Protesters (Cameroon),MRC: Movement for Renewal of Cameroon; Women (Cameroon),Gov(Cameroon),,,2020-11,"On 21 November 2020, 22 female supporters of the MRC (opposition) party demonstrated in Ngousso neighborhood of Yaounde city (Mfoundi, Centre) to demand the release of the party's leader. They were arrested by the security forces (assumed Police Forces). [size=22]",CAO4039,4039
11905,Protesters (Nigeria),Labour Group (Nigeria),,,,2020-11,"Around 20 November 2020 (as reported), newspaper vendors staged a protest in Abuja (Abuja Municipal LGA, FCT) over the killing of their colleague by a security operative attached to the House of Representatives Speaker. [size=no report]",NIG18941,18941
12079,Protesters (Morocco),Teachers (Morocco),Gov(Morocco),,,2020-11,"On 19 November 2020, the Moroccan police dispersed a protest sit-in held by teachers and members of the collective ''Cell 10'' in front of the Ministry of National Education in Rabat (Rabat). The collective's main demand is a promotion by the Ministry for teachers with more than 14 years of experience. [size=no report]",MOR3577,3577
12364,Protesters (Nigeria),Students (Nigeria),,,,2020-11,"Around 19 November 2020 (as reported), students of Osun State College of Education (OSSCE) staged protest marches on major roads in the school community in Ila Orangun (Ila LGA, Osun) over the suspension of lectures by their teachers. [size=no report]",NIG18939,18939
12646,Protesters (Algeria),Students (Algeria),,,,2020-11,"On 19 November 2020, students held a protest sit-in at the University of Constantine (Constantine) to demand the liberation of student and hirak activists arrested by the police. [size=no report]",ALG9907,9907
12665,Protesters (Democratic Republic of Congo),Patriotic Awakening,Gov(DRC),,,2020-11,"On 18 November 2020, members of the civil society group Patriotic Awakening demonstrated in Kinshasa city (Kinshasa, Kinshasa) against the service provided by the national water and electricity companies. The police intervened and arrested 4 activists. [size=no report]",DRC19401,19401
12768,Protesters (Uganda),NUP: National Unity Platform,Gov(Uganda),,,2020-11,"On 18 November 2020, supporters of Bobi Wine MP demonstrated in Nansana (Wakiso district) after his arrest earlier that day. Police arrested over 100 demonstrators from two days of demonstrations in Nansana and Wakiso town. [size=no report]",UGA6343,6343
12775,Protesters (Uganda),NUP: National Unity Platform,Gov(Uganda),,,2020-11,"On 18 November 2020, supporters of Bobi Wine MP demonstrated in Wakiso (Wakiso district) after his arrest earlier that day. Police arrested over 100 demonstrators from two days of demonstrations in Nansana and Wakiso town. [size=no report]",UGA6346,6346
12798,Protesters (Uganda),NUP: National Unity Platform,Gov(Uganda),,,2020-11,"On 18 November 2020, supporters of Bobi Wine demonstrated at a police station in Jinja (Jinja district) where Bobi Wine MP was being detained. Police fired tear gas to disperse the crowds. [size=no report]",UGA6333,6333
12952,Protesters (Nigeria),Students (Nigeria),,,,2020-11,"Around 18 November 2020 (as reported), students of Ogun State Institute of Technology (OGITECH) blocked the entrance of the institution in Igbesa (Ada-Odo/Ita LGA, Ogun) to protest the death of one of their colleagues who reportedly died as a result of the poor healthcare system in the institution. [size=no report]",NIG18931,18931
13034,Protesters (Nigeria),Labour Group (Nigeria),,,,2020-11,"On 18 November 2020, retirees staged a protest at the State Secretariat in Abere (Osogbo LGA, Osun) over the non-payment of pension arrears. [size=no report]",NIG18928,18928
13093,Protesters (Sudan),Farmers (Sudan),,,,2020-11,"Around 18 November 2020 (as reported), farmers protested in Ed Damer (River Nile state), calling for increased supplies of fuel prior to the upcoming harvest. [size=no report]",SUD14496,14496
13428,Protesters (Somalia),Taxi Drivers (Somalia),,,,2020-11,"On 17 November 2020, over fifty local drivers of Dhaweeye staged a protest against the decision to impose a new tax by the taxi company in Garowe town (Garoowe, Nugaal). [size=over 50]",SOM32467,32467
13556,Protesters (Algeria),Students (Algeria),,,,2020-11,"On 17 November 2020, students held a protest sit-in at the University of Algiers III in Dely Ibrahim (Alger, Cheraga) to demand the liberation of student and hirak activist, Kais Ould Ammar. [size=no report]",ALG9897,9897
13572,Protesters (Nigeria),Labour Group (Nigeria),,,,2020-11,"On 16 November 2020, some workers of Egbin Power Plant staged a protest at the Plant located at Ijede/Egbin (Ikorodu LGA, Lagos) over their poor working conditions and welfare packages. [size=no report]",NIG18917,18917
14149,Protesters (Mali),Fulani Ethnic Group (Mali); Pastoralists (Mali),,,,2020-11,"On 15 November 2020, about two hundred residents (primarily Fulani) staged a demonstration and blocked the main road in Sofara (Djenne, Mopti). The demonstrators denounced recurring abductions and assassinations attributed to Dozo militiamen on the transit route between Djenne and Mopti. [size=about 200]",MLI4501,4501
14160,Protesters (Algeria),Women (Algeria),,,,2020-11,"On 15 November 2020, around thirty women held a protest sit-in in front of the court of first instance of Oran (Oran) to demand the liberation of their relatives accused of participating in a fight. [size=around 30]",ALG9881,9881
14168,Protesters (Algeria),Students (Algeria),,,,2020-11,"On 15 November 2020, students closed the administrative building of Mouloud Mammeri university in Tizi Ouzou (Tizi Ouzou) to denounce the nomination of a new faculty dean. [size=no report]",ALG9882,9882
14514,Protesters (Morocco),Saharawi Ethnic Group (Morocco); Polisario Front,Gov(Morocco),,1,2020-11,"On 14 November 2020, the Moroccan police dispersed a gathering of hundreds of pro-Polisario protesters in Laayoune / El Aaiun (Laayoune Saquia al Hamra, Laayoune) who were denouncing the Moroccan army's intervention in Guergurate. [size=hundreds]",MOR3555,3555
14536,Protesters (Morocco),Health Workers (Morocco),Gov(Morocco),Gov(Morocco),,2020-11,"On 14 November 2020, police and auxiliary forces dispersed a protest sit-in held by the Movement of Nurses and Health Workers in Morocco in front of the Ministry of Health in Rabat (Rabat). Protesters were demanding an improvement in their working conditions and a raise in their salaries. Injuries were reported among the protesters. [size=no report]",MOR3557,3557
14540,Protesters (Democratic Republic of Congo),UDPS: Union for Democracy and Social Progress,Gov(DRC),,,2020-11,"On 14 November 2020, supporters of the PPRD party confronted a group of members of the UDPS party marched in Kalemie town (Kalemie, Tanganyika) to support the consultations of the president Tshisekedi and to ask him to end the coalition with the FCC (of which the PPRD is part). The police intervened and charged to disperse the demonstrators. Five PPRD supporters were present at the demonstration carrying rival banners. [size=no report]",DRC19348,19348
14903,Protesters (Democratic Republic of Congo),ASBL: Kabilist Youth,Gov(DRC),,,2020-11,"On 14 November 2020, a group of members of the ASBL (Kabilist Youth) marched in Kinshasa city (Kinshasa, Kinshasa) against the president Tshisekedi and his political consultations, in reaction to demonstrations called nationwide to support the president. The police intervened to disperse the group and to enforce the ban on the demonstration, resulting in confrontations which left some people injured and some arrested. [size=no report]",DRC19350,19350
15204,Protesters (Morocco),Saharawi Ethnic Group (Morocco); Polisario Front,Gov(Morocco),,1,2020-11,"On 13 November 2020, the Moroccan police dispersed a gathering of some dozens pro-Polisario protesters in Laayoune / El Aaiun (Laayoune Saquia al Hamra, Laayoune) who were denouncing the Moroccan army's intervention in Guergurate. [size=some dozens]",MOR3550,3550
15308,Protesters (Morocco),Saharawi Ethnic Group (Morocco); Polisario Front,Gov(Morocco),,1,2020-11,"On 13 November 2020, the Moroccan police dispersed a gathering of pro-Polisario protesters in Semara (Laayoune-Sakia El Hamra, Es Semara) who were denouncing the Morocco army's intervention in Guerguerate. [size=no report]",MOR3552,3552
16145,Protesters (Nigeria),Farmers (Nigeria),,,,2020-11,"On 11 November 2020, over five thousand applicants of the Nigeria Incentive-based Risk Sharing System for Agricultural Lending (NIRSAL) under the aegis of CBN-NIRSAL Loan Applicants Association staged a protest in Makurdi (Makurdi LGA, Benue) over the non-disbursement of loans and the hijacking of the process by politicians. [size=over five thousand]",NIG18885,18885
16285,Protesters (Nigeria),Students (Nigeria),,,,2020-11,"Around 11 November 2020 (week of), students of the Federal Polytechnic Ede staged demonstrations at the institution in Ede (Ede North LGA, Osun) to protest against the continuous sit-down-strike embarked upon by their lecturers. [size=no report]",NIG18901,18901
16779,Protesters (Cameroon),Lawyers (Cameroon),Gov(Cameroon),Gov(Cameroon),,2020-11,"On 10 November 2020, about 10 lawyers demonstrated at the Court of First Instance of Douala city (Wouri, Littoral), against the decision of the judge to extend the detention of two of their colleagues. The police and gendarmerie forces fired tear gas at the demonstrators, injuring several. [size=about 10]",CAO3994,3994
17121,Protesters (Sudan),RAC: Revolutionary Awakening Council,,,1,2020-11,"On 9 November 2020, supporters of Musa Hilal's RAC demonstrated in Saraf Omra town (North Darfur state), calling for his release and the release of other members who been detained by authorities. [size=no report]",SUD14478,14478
17184,Protesters (Morocco),Labour Group (Morocco),Gov(Morocco),,,2020-11,"On 9 November 2020, the Moroccan police dispersed a protest sit-in held by unemployed visually-impaired graduates in Rabat (Rabat). Protesters were denouncing their marginalization and demanding job opportunities. [size=no report]",MOR3519,3519
17249,Protesters (Uganda),Taxi Drivers (Uganda),Gov(Uganda),,,2020-11,"On 9 November 2020, over 500 boda boda drivers demonstrated against police extortion carried out under the pretense of coronavirus enforcement measures in Kabale (Kabale district). Police dispersed the drivers with tear gas and live rounds (presumed to be fired into the air). [size=over 500]",UGA6308,6308
17268,Protesters (Ivory Coast),Dozo Communal Militia (Ivory Coast),,,1,2020-11,"On 9 November 2020, supporters of the opposition parties demonstrated in Katiola town (Hambol, Vallee du Bandama) to demand the liberation of opposition leaders arrested in the context of post presidential election contestations. Dozo hunters took part in the demonstration in order to 'protect' the demonstrators. No violence was reported. [size=no report]",CDI2430,2430
17320,Protesters (Nigeria),Protestant Christian Group (Nigeria),,,,2020-11,"On 9 November 2020, church members and priests of the Agbani Methodist Diocese staged demonstrations in Ugbawka Community (Nkanu East LGA, Enugu) over the demolition of its properties, Church and other buildings by villagers in Enugu. [size=no report]",NIG18869,18869
17813,Protesters (Algeria),Students (Algeria),,,,2020-11,"On 8 November 2020, dozens of students and their parents held a protest sit-in in front of the municipality of Sidi Bakhti (Tiaret, Medroussa) to demand to be provided with transportation to Tiaret. [size=dozens]",ALG9842,9842
18037,Protesters (Nigeria),Christian Group (Nigeria),,,,2020-11,"On 8 November 2020, members of Divine Shadow Church staged a protest in Daudu (Guma LGA, Benue) over the death of their pastor and demanded justice. [size=no report]",NIG18860,18860
18076,Protesters (Sudan),Refugees/IDPs (Sudan),,,,2020-11,"On 8 November 2020, IDPs from Zamzam camp began a sit-in protest at the WFP office in El Fasher (North Darfur state), after the organization announced a change in food distribution to IDPs, meaning some receive continuous aid, others temporary aid, and those deemed not to be in need of aid having aid withdrawn. [size=no report]",SUD14472,14472
18179,Protesters (Morocco),AMDH: Moroccan Association of Human Rights; Labour Group (Morocco),Gov(Morocco),Gov(Morocco),,2020-11,"On 7 November 2020, auxiliary forces and the Moroccan police dispersed an open sit-in held by the Moroccan Association for Human Rights (AMDH) activists and social coordinators in Souq Sebt Oulad Nemma (Beni Mellal-Khenifra, Fquih Ben Saleh). They had started an open sit-in to demand the payment of their wages. 4 protesters were injured during the police intervention. [size=no report]",MOR3512,3512
18507,Protesters (Democratic Republic of Congo),Bira Ethnic Group (Democratic Republic of Congo),Gov(DRC),,,2020-11,"On 7 November 2020, a group of local people from the Bira community demonstrated in Komanda locality (Irumu, Ituri) in response to a false rumor over the killing of 1 person from this community. The police intervened and briefly arrested 5 demonstrators. The march was also a reaction to another demonstration by the Hema community the previous day, amid rising tension between these communities. [size=no report]",DRC19285,19285
