,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,mon_yr,notes,event_id_cnty,event_id_no_cnty
18989,Protesters (Nigeria),Students (Nigeria),,,Lagos,2020-11,"Around 6 November 2020 (as reported), a group of students staged a demonstration at the Lagos State Judicial Panel of Inquiry in Lekki (Ibeju/Lekki LGA, Lagos) to protest the killing of a student journalist by police officers. [size=no report]",NIG18835,18835
19798,Protesters (Nigeria),IMN: Islamic Movement In Nigeria; Muslim Group (Nigeria),Gov(Nigeria),,Federal Capital Territory,2020-11,"On 5 November 2020, members of the Islamic Movement of Nigeria staged a demonstration in Maitama (Abuja Municipal LGA, FCT) to protest the continued detention of their leader and his wife and in remembrance of the Zaire massacre. Police forces fired live ammunition and tear gas to disperse demonstrators. Reported casualties. [size=no report]",NIG18828,18828
20207,Protesters (Nigeria),Students (Nigeria),,,Osun,2020-11,"On 4 November 2020, students of the Federal Polytechnic Ede staged demonstrations at the two entrances of the institution in Ede (Ede North LGA, Osun) to protest against the continuous sit-down-strike embarked upon by their lecturers. [size=no report]",NIG18825,18825
20793,Protesters (Nigeria),Labour Group (Nigeria),,,Kogi,2020-11,"On 3 November 2020, no fewer than a hundred Dangote truck drivers staged demonstrations on major roads leading to the Obajana factory site and the west Senatorial district of Kogi in Obajana (Lokoja LGA, Kogi) to protest against unhealthy industry practices against them. [size=no fewer than a hundred]",NIG18824,18824
20813,Protesters (Nigeria),Labour Group (Nigeria),Gov(Nigeria),,Lagos,2020-11,"On 3 November 2020, scores of Dangote employees staged a demonstration in front of Dangote Refinery in Lekki (Ibeju/Lekki LGA, Lagos) to demand an increase in their salary. Police forces fired live ammunition at demonstrators, allegedly killing one. Police sources have denied the killing, reporting that no shooting took place at during the protest. [size=scores]",NIG18823,18823
21130,Protesters (Nigeria),Labour Group (Nigeria),Gov(Nigeria),,Cross River,2020-11,"On 2 November 2020, pensioners staged a demonstration on Murtala Mohammed Highway in Calabar (Calabar-Municipal LGA, Cross River) to protest against the non-payment of their pensions by the state government. Military troops dispersed demonstrators and assaulted journalists. No reported fatalities. [size=no report]",NIG18817,18817
21279,Protesters (Nigeria),Prisoners (Nigeria),,,Delta,2020-11,"Around 2 November 2020 (as reported), prisoners staged demonstrations at the Okere Correctional Centre in Warri (Warri South LGA, Delta) to protest against the center's lack of food for its inmates. [size=no report]",NIG18818,18818
25488,Protesters (Nigeria),Labour Group (Nigeria),,,Delta,2020-10,"On 26 October 2020, over 150 commercial mini bus drivers staged protest marches along major streets in Warri (Warri South LGA, Delta) over the alleged levy imposed by council officials for operating within the Local government area. [size=over 150]",NIG18778,18778
27474,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Oyo,2020-10,"On 22 October 2020, police fired on local residents staging a #EndSARS protest in Oyo town (Oyo West, Oyo). One demonstrator was killed. [size=no report]",NIG18726,18726
27475,Protesters (Nigeria),APC: All Progressives Congress,,,Benue,2020-10,"On 22 October 2020, dozens of APC supporters staged a demonstration at Ihugh-TseMker highway in Benue State to urge the President to fix the federal roads in the state. [size=dozens]",NIG18721,18721
28636,Protesters (Nigeria),Labour Group (Nigeria),,,Anambra,2020-10,"On 21 October 2020, about 50 keke riders under Tricycle Owners Association of Nigeria demonstrated at Omabga Phase 1 Gate in Onitsha (Onitsha North LGA, Anambra) to protest against the relocation of the tricycle park. [size=about 50]",NIG18714,18714
28639,Protesters (Nigeria),Students (Nigeria),Gov(Nigeria),,Kogi,2020-10,"On 21 October 2020, students of Kogi State Polytechnic staged demonstrations at the Felele end of the Okene -Lokoja -Abuja highway in Lokoja (Lokoja LGA, Kogi) to protest the killing of another student by a commercial driver. Police forces fired live ammunition and tear gas to disperse the crowd. [size=no report]",NIG18710,18710
28779,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Lagos,2020-10,"On 20 October 2020, thousands of #EndSARS supporters staged a demonstration at the Lekki Tollgate in Lekki (Ibeju/Lekki LGA, Lagos) against police brutality. Military forces fired live ammunitions at demonstrators who sat down peacefully. Multiple reports of fatalities ranging from 1 to 10. [size=thousands]",NIG18694,18694
28815,Protesters (Nigeria),#EndSARS,Unidentified Armed Group (Nigeria),,Kano,2020-10,"On 20 October 2020, #EndSARS supporters staged a demonstration in the Sabon-Gari area of Kano metropolis (Kano Municipal LGA, Kano) to protest police brutality. Unidentified armed men attacked demonstrators, killing two and injuring five persons. Fifteen cars were also vandalized and looted, along with the Galaxy shopping mall, the Summit Lodge, Chicken Republic and St Thomas' Catholic Church in Kano metropolis. [size=no report]",NIG18692,18692
28953,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Lagos,2020-10,"On 20 October 2020, #EndSARS supporters staged a demonstration in the Mushin area (Mushin LGA, Lagos) to protest against police brutality. Police forces fired live ammunition at demonstrators, killing no less than 15 demonstrators and injuring over 67 other persons. [size=no report]",NIG18801,18801
29028,Protesters (Nigeria),#EndSARS,Gov(Nigeria),Gov(Nigeria),Lagos,2020-10,"On 20 October 2020, #EndSARS supporters staged a demonstration at Alausa (Ikeja LGA, Lagos) against police brutality. Military forces and policemen from the Rapid Response Squad unit fired live ammunitions at demonstrators who sat down peacefully, killing at least two persons and critically injuring one other. [size=no report]",NIG18681,18681
29708,Protesters (Nigeria),#EndSARS; Christian Group (Nigeria),Unidentified Armed Group (Nigeria),Gov(Nigeria),Federal Capital Territory,2020-10,"On 19 October 2020, #EndSARS supporters staged protests at Airport Road, Asokoro, and on Apo road in Abuja (Abuja Municipal LGA, FCT) against police brutality. Police forces fired tear gas at demonstrators in Asokoro. Unidentified armed men attacked demonstrators at Apo and vandalized demonstrators' vehicles, killing at least five persons. Thousands of members of the Dunamis International Gospel Centre with other Christians led protest marches around Central Abuja (Abuja Municipal LGA, FCT) in support of the #EndSARS movement. [size=thousands]",NIG18644,18644
29758,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Edo,2020-10,"On 19 October 2020, several hundreds of supporters of the #EndSARS movement demonstrated on major roads in Auchi town (Etsako West, Edo), and allegedly assaulted a soldier. Four people were reportedly killed when soldiers used force to disperse the demonstrators. [size=several hundreds]",NIG18650,18650
29786,Protesters (Nigeria),Students (Nigeria),,,Oyo,2020-10,"On 19 October 2020, students, who gathered in the Idi Ape area of Ibadan town (Ibadan North West, Oyo), protesting against the poor funding of the education sector and demanded reduction of fees. [size=no report]",NIG18656,18656
29857,Protesters (Nigeria),#EndSARS,Unidentified Armed Group (Nigeria),,Federal Capital Territory,2020-10,"On 18 October 2020, #EndSARS supporters staged a demonstration in front of the Central Bank of Nigeria (CBN) in Abuja (Abuja Municipal LGA, FCT) to protest against police brutality. Unidentified armed men attacked and shot at demonstrators, injuring many. Property damage also reported. [size=no report]",NIG18633,18633
30496,Protesters (Nigeria),#EndSARS,Unidentified Armed Group (Nigeria),,Federal Capital Territory,2020-10,"On 17 October 2020, unidentified armed men attacked supporters of the ENDSARS protest under the Kubwa flyover (Abuja Municipal LGA, FCT) in order to disperse the demonstrators. Reported injuries. [size=no report]",NIG18621,18621
30506,Protesters (Nigeria),#EndSARS; Government of Nigeria (2015-); Christian Group (Nigeria),Unidentified Armed Group (Nigeria),,Osun,2020-10,"On 17 October 2020, unidentified armed men attacked the convoy of the Executive Governor of Osun State and supporters of the #EndSARS movement in Oshogbo (Osogbo LGA, Osun). Multiple sources report fatalities ranging from 0 to 3. Property damage and injuries also reported. Members of the Youth Wing of the Christian Associations of Nigeria demonstrated at Lameco junction and around Ring Road area in Osogbo LGA (Osun) in support of the #EndSARS movement. [size=no report]",NIG18624,18624
30694,Protesters (Nigeria),Students (Nigeria),,,Akwa Ibom,2020-10,"On 17 October 2020, students staged a peaceful protest calling on the federal government and the academic staff unions of universities to resolve their differences and reopen the schools in Uyo town (Uyo, Akwa Ibom). [size=no report]",NIG18627,18627
31613,Protesters (Nigeria),#EndSARS,Unidentified Armed Group (Nigeria),,Lagos,2020-10,"On 15 October 2020, #EndSARS supporters staged a demonstration in Alausa (Ikeja LGA, Lagos) to protest against police brutality across the state. Unidentified armed men attacked the protesters at the scene in an attempt to disperse the crowd. Reported injuries. [size=no report]",NIG18563,18563
31628,Protesters (Nigeria),#EndSARS,Unidentified Armed Group (Nigeria),,Osun,2020-10,"On 15 October 2020, unidentified armed men attacked supporters of the #EndSARS movement at Olaiya Junction and Oke-Fia junction in Oshogbo (Osogbo LGA, Osun) in an attempt to disperse the demonstrators. No reported fatalities. [size=no report]",NIG18577,18577
32298,Protesters (Nigeria),Students (Nigeria),,,Benue,2020-10,"On 14 October 2020, students of universities in Benue state staged a peaceful protest in Makurdi town (Makurdi, Benue), over the prolonged standoff between the federal government and the ASUU. Academic staff union of universities and the students urged the federal government to meet the demands of the striking ASUU members. [size=no report]",NIG18556,18556
32666,Protesters (Nigeria),CORE: Coalition for Revolution,Gov(Nigeria),,Adamawa,2020-10,"On 14 October 2020, supporters of the Coalition for Revolution gathered at Item 7 Roundabout in Yola (Yola North LGA, Adamawa) to protest against police brutality. Police forces fired tear gas to disperse the crowd. [size=no report]",NIG18560,18560
32872,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Plateau,2020-10,"On 14 October 2020, #EndSARS supporters staged a demonstration at the Governor's Office in Jos (Jos North LGA, Plateau) to protest against police brutality. Police forces dispersed the demonstrators. [size=no report]",NIG18552,18552
33201,Protesters (Nigeria),Labour Group (Nigeria),,,Borno,2020-10,"On 13 October 2020, civil society organisations and trade union members staged a demonstration at the Government House in Maiduguri (Maiduguri LGA, Borno) in support of the #ProSARS movement. [size=no report]",NIG18539,18539
33328,Protesters (Nigeria),Women (Nigeria),,,Delta,2020-10,"On 13 October 2020, over a hundred women protested in Aniocha North Local Government (Aniocha North, Delta), demanding the release of arrested kinsmen from the Idumuje-Ugboko community . [size=over hundred]",NIG18540,18540
33478,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Federal Capital Territory,2020-10,"On 13 October 2020, supporters of the #EndSARS movement staged a demonstration in front of the National Assembly complex in Abuja (Abuja Municipal LGA, FCT) to protest against police brutality across the country. Military forces manhandled protesters, including journalists on the scene. No reported fatalities. [size=no report]",NIG18514,18514
33979,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Edo,2020-10,"On 12 October 2020, #EndSARS supporters staged a demonstration in Auchi (Etsako West LGA, Edo) to protest against police brutality. Military forces fired live ammunition at demonstrators, killing one and injuring four others. [size=no report]",NIG18743,18743
34095,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Ogun,2020-10,"On 12 October 2020, #EndSARS supporters demonstrated in Ogun State to protest against police brutality across the country. Police forces arrested three demonstrators. Demonstrators were later released. [size=no report]",NIG18484,18484
34125,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Lagos,2020-10,"On 12 October 2020, supporters of the #EndSARS movement staged a demonstration in Surulere (Mushin LGA, Lagos) to protest against police brutality across the country. Police forces fired live ammunition, assaulting and arresting some demonstrators. Ne reported fatality and two injuries. [size=no report]",NIG18509,18509
34523,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Federal Capital Territory,2020-10,"On 11 October 2020, supporters of the #EndSARS movement demonstrated at the Police Force Headquarters in Abuja (Abuja Municipal LGA, FCT) to protest against the arrest of demonstrators across the country. Police forces fired live ammunition, tear gas and water cannons to disperse the crowd. Some demonstrators were also arrested. [size=no report]",NIG18476,18476
34599,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Oyo,2020-10,"On 10 October 2020, supporters of the #EndSARS movement staged a demonstration at Owode in Ogbomosho (Ogbomosho North LGA, Oyo) against police brutality across the country. Police forces fired live ammunition and killed 1 demonstrator. 7 people were injured. [size=at least 8]",NIG18472,18472
35178,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Federal Capital Territory,2020-10,"On 10 October 2020, supporters of the #EndSARS movement staged a demonstration at the Police Force headquarters in Abuja (Abuja Municipal LGA, FCT) against police brutality across the country. Police forces fired live ammunition and tear gas to disperse demonstrators. No reported fatalities. [size=no report]",NIG18462,18462
35189,Protesters (Nigeria),Refugees/IDPs (Nigeria),,,Borno,2020-10,"Around 10 October 2020 (as reported), IDPs staged a demonstration in Pulka (Gwoza LGA, Borno) to protest the food insecurity in the camp. [size=no report]",NIG18473,18473
35541,Protesters (Nigeria),Students (Nigeria),,,Delta,2020-10,"On 9 October 2020, students of Delta State Polytechnic protested along the Ughelli-Ozoro-Asaba Road (Oshimili South LGA, Delta) over the coronavirus fee imposed by management of the institution. [size=no report]",NIG18451,18451
35771,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Federal Capital Territory,2020-10,"On 9 October 2020, supporters of the #EndSARS movement staged a demonstration at the Police Force headquarters in Abuja (Abuja Municipal LGA, FCT) against police brutality across the country. Police forces fired live ammunition and tear gas. Demonstrators were also arrested. No reported fatalities. [size=no report]",NIG18447,18447
35781,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Lagos,2020-10,"On 9 October 2020, supporters of the #EndSARS movement staged a demonstration at the Lagos State House of Assembly, Lagos State Government Secretariat and the Governor's office in Alausa (Ikeja LGA, Lagos) against police brutality across the country. Police forces assaulted demonstrators in attempts to disperse the crowd. [size=no report]",NIG18450,18450
35784,Protesters (Nigeria),#EndSARS; Students (Nigeria),Gov(Nigeria),,Edo,2020-10,"On 9 October 2020, youth members of the National Association of Edo Students with the Coalition of Civil Society staged demonstrations at the Secretariat of the Nigeria Union of Journalists, the Government House and the state Police Command Headquarters in Benin City (Oredo LGA, Edo) against police brutality in support of the #EndSARS movement. Police forces dispersed the demonstrators. [size=no report]",NIG18452,18452
36146,Protesters (Nigeria),IMN: Islamic Movement In Nigeria; Muslim Group (Nigeria),Gov(Nigeria),,Federal Capital Territory,2020-10,"Around 8 October 2020 (as reported), members of the Islamic Movement in Nigeria staged protests in Abuja (Abuja Municipal LGA, FCT) to demand the freedom of their leader and his wife. Police forces fired tear gas and water cannons to disperse the protesters. [size=no report]",NIG18434,18434
36429,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Lagos,2020-10,"On 8 October 2020, supporters of the #EndSARS movement staged a demonstration at the Lekki tollgate in Lekki (Ibeju/Lekki LGA, Lagos) against police brutality across the country. Police forces dispersed the crowd assaulting some demonstrators. [size=no report]",NIG18440,18440
37351,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Edo,2020-10,"On 6 October 2020, supporters of the #EndSARS movement demonstrated in Benin City (Oredo LGA, Edo) against police brutality across the country. Police operatives accompanied protesters to prevent demonstrations becoming violent. [size=no report]",NIG18420,18420
40421,Protesters (Nigeria),CORE: Coalition for Revolution,Gov(Nigeria),,Adamawa,2020-10,"On 1 October 2020, supporters of the Coalition for Revolution demonstrated along Hospital Road in Yola (Yola North LGA, Adamawa) against bad governance and insecurity in support of the #RevolutionNow Movement. Police forces dispersed the crowd. [size=no report]",NIG18394,18394
40425,Protesters (Nigeria),CORE: Coalition for Revolution,Gov(Nigeria),,Benue,2020-10,"On 1 October 2020, supporters of the Coalition for Revolution demonstrated in Benue State against bad governance in support of the #RevolutionNow Movement. Police arrested three demonstrators. Demonstrators were later released. [size=at least 3]",NIG18388,18388
40488,Protesters (Nigeria),CORE: Coalition for Revolution,Gov(Nigeria),,Rivers,2020-10,"On 1 October 2020, supporters of the Coalition for Revolution with We The People and Rivers Civil Society Organization demonstrated at the Isaac Boro Park in Port Harcourt (Port-Harcourt LGA, Rivers) against bad governance in support of the #RevolutionNow Movement. Police forces dispersed the crowd. [size=no report]",NIG18392,18392
40802,Protesters (Nigeria),CORE: Coalition for Revolution; Civilians (Nigeria); Journalists (Nigeria),Gov(Nigeria),,Lagos,2020-10,"On 1 October 2020, over 200 supporters of the Coalition for Revolution demonstrated at Ojota (Kosofe LGA) and Maryland (Kosofe LGA) in Lagos State against bad governance in support of the #RevolutionNow Movement. Police arrested 30 demonstrators and assaulted one journalist. No reports of fatalities. [size=over 200]",NIG18387,18387
40809,Protesters (Nigeria),CORE: Coalition for Revolution,Gov(Nigeria),,Osun,2020-10,"On 1 October 2020, supporters of the Coalition for Revolution demonstrated at Old Garage area and Freedom Park in Oshogbo (Osogbo LGA, Osun) against bad governance in support of the #RevolutionNow Movement. Police arrested 20 demonstrators. Demonstrators were later released. [size=at least 20]",NIG18391,18391
40844,Protesters (Nigeria),CORE: Coalition for Revolution,Gov(Nigeria),,Ondo,2020-10,"On 1 October 2020, supporters of the Coalition for Revolution demonstrated at Ore (Odigbo LGA, Ondo) against bad governance in support of the #RevolutionNow Movement. Police forces dispersed the crowd with teargas, injuring no fewer than 3 persons. 15 demonstrators were also assaulted and arrested. [size=at least 15]",NIG18390,18390
42338,Protesters (Nigeria),Labour Group (Nigeria),,,Rivers,2020-09,"On 29 September 2020, road sweepers working for the Rivers State Waste Management Agency protested in Port Harcourt (Port-Harcourt LGA, Rivers) over illegal deductions from their monthly stipends. [size=no report]",NIG18375,18375
42740,Protesters (Nigeria),Labour Group (Nigeria),,,Cross River,2020-09,"On 28 September 2020, about 300 workers employed by the Cross River State government as part of the coronavirus relief staff protested at the headquarters of the Cross River State Ministry of Agriculture in Calabar (Calabar-Municipal LGA, Cross River) over the non-payment of their salaries. [size=about 300]",NIG18364,18364
43152,Protesters (Nigeria),Women (Nigeria); Labour Group (Nigeria),Gov(Nigeria),,Delta,2020-09,"On 28 September 2020, over 50 Ogbeogologo market women demonstrated in Asaba (Oshimili South LGA, Delta) over the planned demolition of their shops. Police forces used teargas to disperse the crowd. [size=over 50]",NIG18362,18362
43324,Protesters (Nigeria),Christian Group (Nigeria),,,Oyo,2020-09,"On 27 September 2020, hundreds of demonstrators with the Nigerian Baptist Convention Youth Conference protested at Molete Baptist Church in Ibadan (Akinyele LGA, Oyo) over the killings of Christians in the North. [size=hundreds]",NIG18353,18353
43601,Protesters (Nigeria),Women (Nigeria),,,Delta,2020-09,"Around 26 September 2020 (weekend of), Delta residents staged demonstrations across major streets in Warri (Warri South LGA, Delta) to protest against the former ex-Minister of State for Education and his disregard for his female workers' human rights. [size=no report]",NIG18335,18335
43604,Protesters (Nigeria),Women (Nigeria),,,Delta,2020-09,"Around 26 September 2020 (weekend of), Delta residents staged demonstrations at the state House of Assembly, the Government House, the Ministry of Women Affairs and the police headquarters in Asaba (Oshimili South LGA, Delta) to protest against the former ex-Minister of State for Education and his disregard for his female workers' human rights. [size=no report]",NIG18333,18333
44295,Protesters (Nigeria),Women (Nigeria),,,Bayelsa,2020-09,"On 25 September 2020, women from 40 crude oil producing communities in Bayelsa State staged demonstrations at the Yenagoa office of the Niger Delta Development Commission (Yenagoa LGA, Bayelsa) over the toxic pollution that killed thousands of fish in coastal communities in Bayelsa and Rivers states earlier in the year. [size=no report]",NIG18332,18332
44927,Protesters (Nigeria),PDP: Peoples Democratic Party,,,Federal Capital Territory,2020-09,"On 24 September 2020, protesters under the umbrella of the Conference of All PDP Support Groups staged demonstrations at party's presidential campaign office in Abuja (Abuja Municipal LGA, FCT) over the disunity and crisis of Niger State chapter of the party. [size=no report]",NIG18312,18312
46145,Protesters (Nigeria),Labour Group (Nigeria),,,Ogun,2020-09,"On 22 September 2020, dozens of Ogun State pensioners demonstrated around Abiola Way in Abeokuta (Abeokuta South LGA, Ogun) to protest against the non-payment of their gratuities by the government. [size=dozens]",NIG18293,18293
46523,Protesters (Nigeria),APC: All Progressives Congress,,,Imo,2020-09,"On 22 September 2020, scores of demonstrators associated with APC staged protests at the sec-re-tariat of the Imo In-de-pen-dent Na-tional Elec-toral Com-mis-sion (Owerri-Municipal LGA, Imo) over the out-come of the APC pri-mary elec-tion for the Imo North by-elec-tion scheduled in October. [size=scores]",NIG18296,18296
47077,Protesters (Nigeria),Labour Group (Nigeria),,,Cross River,2020-09,"On 21 September 2020, civil servants removed from the payroll of the Cross River Government protested in front of the State House (Calabar-Municipal LGA, Cross River) over the non-payment of their salaries. [size=no report].",NIG18286,18286
48398,Protesters (Nigeria),Women (Nigeria),,,Bayelsa,2020-09,"On 18 September 2020, many women from oil-producing communities in Bayelsa protested at the state office of the Niger Delta Development Commission in Yenagoa (Yenagoa LGA, Bayelsa) over the alleged neglect and underdevelopment of their communities by the commission. [size=many]",NIG18255,18255
49457,Protesters (Nigeria),Labour Group (Nigeria),,,Anambra,2020-09,"On 16 September 2020, members of Recover Nigeria Project along with 50 tipper lorry drivers staged demonstrations at the Government House and the Anambra State House of Assembly in Awka (Awka South LGA, Anambra) to protest the non-conduct of local government elections by the state government. [size=at least 50]",NIG18237,18237
