"","act_nopo"
"38","FDLR-RUD: Democratic Forces for the Liberation of Rwanda-Rally for Unity and Democracy"
"39","Bul Clan Militia (South Sudan)"
"40","Islamic State (Central Africa)"
"41","RED-TABARA: Resistance to the Rule of Law in Burundi"
"42","Fulani Ethnic Militia (Nigeria)"
"43","Mayi Mayi Militia (Hapa na pale)"
"44","Unidentified Communal Militia (Nigeria)"
"45","Ntale Communal Militia (Cameroon)"
"46","Niger Communal Militia (Nigeria)"
"47","Nuba Ethnic Militia (Sudan)"
"48","Edikwu Communal Militia (Nigeria)"
"49","CODECO: Cooperative for Development of Congo"
"50","Unidentified Armed Group (Burkina Faso)"
"51","Unidentified Armed Group (Burundi)"
"52","SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction)"
"53","Fellata Ethnic Militia (Sudan)"
"54","Kogi Communal Militia (Nigeria)"
"55","Fulani Ethnic Militia (Mali)"
"56","FLEC-FAC: Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda"
"57","Murle Ethnic Militia (South Sudan)"
"58","Rizeigat Ethnic Militia (Sudan)"
"59","Apuk-Padoch-Rek Sub-Clan Militia (South Sudan)"
"60","PRNC: Party of the Rally of the Central African Nation"
"61","Oromo Ethnic Militia (Ethiopia)"
"62","Darfur Communal Militia (Sudan)"
"63","Islamic State (Egypt)"
"64","Dozo Communal Militia (Mali)"
"65","Awan-Parek-Rek Clan Militia (South Sudan)"
"66","Twiganeho Ethnic Militia (Democratic Republic of Congo)"
"67","Fakar Communal Militia (Libya)"
"68","VDP: Volunteer for Defense of Homeland"
"69","Dhulbahante-Hayag Sub-Clan Militia (Somalia)"
"70","Unidentified Communal Militia (South Sudan)"
"71","Tonj South Communal Militia (South Sudan)"
"72","Ruop-Agar Clan Militia (South Sudan)"
"73","South Kordofan Communal Militia (Sudan)"
"74","Unidentified Armed Group (Chad)"
"75","Bor Clan Militia (South Sudan)"
"76","Katiba Macina"
"77","Unidentified Armed Group (Niger)"
"78","Militia (Muktar Robow)"
"79","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition"
"80","Mayi Mayi Militia (Biloze Bishambuke)"
"81","Unidentified Armed Group (Somalia)"
"82","Unidentified Armed Group (Libya)"
"83","Ngumino Ethnic Militia (Democratic Republic of Congo)"
"84","UPC: Union for Peace in the Central African Republic"
"85","Macar-Gok Sub-Clan Militia (South Sudan)"
"86","CMC-FNLD: Collective Movement for Change-Front for National Liberation and Democracy"
"87","Unidentified Armed Group (Democratic Republic of Congo)"
"88","Bul Nuer Ethnic Militia (South Sudan)"
"89","Hausa Ethnic Militia (Nigeria)"
"90","Unidentified Armed Group (Mali)"
"91","RPRC: Patriotic Movement for the Rebirth of the Central African People"
"92","Unidentified Armed Group (South Sudan)"
"93","Mayi Mayi Militia (Yakutumba)"
"94","Yirol Communal Militia (South Sudan)"
"95","BDK: Bundu dia Kongo"
"96","FDLR: Democratic Forces for the Liberation of Rwanda"
"97","Mayi Mayi Militia (Nyatura) Domi Faction"
"98","Marehan Clan Militia (Somalia)"
"99","Bakata Katanga Communal Militia (Democratic Republic of Congo)"
"100","Bakira Communal Militia (Nigeria)"
"101","Gok Dinka Ethnic Militia (South Sudan)"
"102","G5S: G5 Sahel Force (2017-)"
"103","Athoi-Agar Sub-Clan Militia (South Sudan)"
"104","MNJTF: Multinational Joint Task Force"
"105","Afar Ethnic Militia (Ethiopia)"
"106","Agila Communal Militia (Nigeria)"
"107","Koglweogo Militia"
"108","Tonj East Communal Militia (South Sudan)"
"109","Lou Nuer Ethnic Militia (South Sudan)"
"110","Pakam-Agar Sub-Clan Militia (South Sudan)"
"111","MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-)"
"112","Nuer Ethnic Militia (Ethiopia)"
"113","MLCJ: Movement of Central African Liberators for Justice"
"114","Dogon Ethnic Militia (Mali)"
"115","Macaswiley Militia"
"116","APCLS: Alliance of Patriots for a Free and Sovereign Congo"
"117","Dozo Communal Militia (Burkina Faso)"
"118","Mayi Mayi Militia (Nyatura) Jean-Marie Faction"
"119","Mayi Mayi Militia (Nyatura)"
"120","Majeerteen Clan Militia (Somalia)"
"121","Agar Clan Dinka Ethnic Militia (South Sudan)"
"122","FPRC: Popular Front for the Renaissance of Central Africa"
"123","Tonj Communal Militia (South Sudan)"
"124","NDC-G: Nduma Defence of Congo (Guidon)"
"125","Misseriya Ethnic Militia (Sudan)"
"126","Cueibet Communal Militia (South Sudan)"
"127","Southern Cameroon Restoration Forces"
"128","Dan Na Ambassagou"
"129","CNRD: National Council for Renewal and Democracy"
"130","Maaliya Ethnic Militia (Sudan)"
"131","Habar Gedir-Saad Sub-Clan Militia (Somalia)"
"132","Special Deterrence Forces"
"133","Unidentified Armed Group (Central African Republic)"
"134","Unidentified Armed Group (Mozambique)"
"135","FPRC: Popular Front for the Renaissance of Central Africa (Adam Faction)"
"136","Ambazonian Separatists (Cameroon)"
"137","Dir Clan Militia (Somalia)"
"138","Pakam Clan Dinka Ethnic Militia (South Sudan)"
"139","Unidentified Armed Group (Rwanda)"
"140","APC: All Progressives Congress"
"141","Dozo Militia"
"142","Habar Gedir Clan Militia (Somalia)"
"143","ADF-NALU: Allied Democratic Forces-National Army for the Liberation of Uganda"
"144","Mayi Mayi Militia"
"145","NAS: National Salvation Front"
"146","Bara Ethnic Militia (Madagascar)"
"147","Unidentified Armed Group (Djibouti)"
"148","Unidentified Communal Militia (Ethiopia)"
"149","Kaxda Communal Militia (Somalia)"
"150","FDLR-RUD: Democratic Forces for the Liberation of Rwanda-Rally for Unity and Democracy (Uranana Faction)"
"151","Mayi Mayi Militia (Nyatura-FDP)"
"152","AMISOM: African Union Mission in Somalia (2007-)"
"153","Anti-Balaka"
"154","Nuer Ethnic Militia (South Sudan)"
"155","Tarhouna Communal Militia (Libya)"
"156","Thiik Communal Militia (South Sudan)"
"157","Gok Communal Militia (South Sudan)"
"158","Beni Amir Ethnic Militia (Sudan)"
"159","Warsangeli Clan Militia (Somalia)"
"160","Arab Ethnic Militia (Chad)"
"161","Unidentified Ethnic Militia (Democratic Republic of Congo)"
"162","Hasam Movement"
"163","Dinka Agar Ethnic Militia (South Sudan)"
"164","Omar Mahmud Clan Militia (Somalia)"
"165","Abgal Clan Militia (Somalia)"
"166","Unidentified Armed Group (Cameroon)"
"167","Habar Yoonis Clan Militia (Somalia)"
"168","Mayi Mayi Militia (Gumino)"
"169","Tiv Ethnic Militia (Nigeria)"
"170","CMA: Coordination of Movements of the Azawad"
"171","Lendu Ethnic Militia (Democratic Republic of Congo)"
"172","Gaaljecel Clan Militia (Somalia)"
"173","Tabu Ethnic Militia (Libya)"
"174","Macawiisley Clan Militia (Somalia)"
"175","RRR: Return, Reclamation and Rehabilitation"
"176","Leelkayse Clan Militia (Somalia)"
"177","Icelander Cult Militia"
"178","Yagba Communal Militia (Nigeria)"
"179","Baoule Ethnic Militia (Ivory Coast)"
"180","Amhara Ethnic Militia (Ethiopia)"
"181","Gumuz Ethnic Militia (Ethiopia)"
"182","SPF: Southern Protection Force"
"183","MSA: Movement for Azawad Salvation"
"184","Civilian JTF: Civilian Joint Task Force"
"185","Lassa Communal Militia (Nigeria)"
"186","Bieh Communal Militia (South Sudan)"
"187","Bana Mura"
"188","Adara Ethnic Militia (Nigeria)"
"189","Hawadle Clan Militia (Somalia)"
"190","Mayi Mayi Militia (Nyatura) Bohoza Faction"
"191","Rizaygat Awlad Zaid Ethnic Militia (Sudan)"
"192","Rek Clan Dinka Ethnic Militia (South Sudan)"
"193","Southern Liech Communal Militia (South Sudan)"
"194","Islamic State (Greater Sahara) and/or Ansaroul Islam"
"195","Western Lakes Communal Militia (South Sudan)"
"196","Somali Ethnic Militia (Somalia)"
"197","Pakam Communal Militia (South Sudan)"
"198","Batende Ethnic Militia (Democratic Republic of Congo)"
"199","Mayi Mayi Militia (Nyatura) Love Faction"
"200","Benishangale Ethnic Militia (Ethiopia)"
"201","Subol Al-Salam Brigade"
"202","Lessel Communal Militia (Nigeria)"
"203","Gora Communal Militia (Nigeria)"
"204","JEM: Justice and Equality Movement"
"205","MPC: Movement for Progressive Change"
"206","Dhulbahante-Baharar Sub-Clan Militia (Somalia)"
"207","Khalid Ibn Al-Walid Battalion"
"208","Bassa Ethnic Militia (Nigeria)"
"209","7th Brigade"
"210","Gurage Ethnic Militia (Ethiopia)"
"211","Qeerroo Youth Militia"
"212","AMISOM: African Union Mission in Somalia (2007-) (Ethiopia)"
"213","Turkana Ethnic Militia (Kenya)"
"214","DPF: Derna Protection Force"
"215","Unidentified Clan Militia (Somalia)"
"216","Luanyjang Communal Militia (South Sudan)"
"217","HYM: Heego Youth Movement"
"218","Habar Jeclo Clan Militia (Somalia)"
"219","Alliance for the Salvation of the Sahel"
"220","Bachama Ethnic Militia (Nigeria)"
"221","AMISOM: African Union Mission in Somalia (2007-) (Uganda)"
"222","ADF: The Ambazonia Defense Forces"
"223","Muslim Militia (Central African Republic)"
"224","Guji Ethnic Militia (Ethiopia)"
"225","Liech Communal Militia (South Sudan)"
"226","Mayi Mayi Militia (Malaika)"
"227","Bangui Communal Militia (Central African Republic)"
"228","Islamic State (Libya)"
"229","GATIA: Imghad Tuareg and Allies Self-Defense Group"
"230","Oku Iboku Communal Militia (Nigeria)"
"231","PK5 Communal Militia (Central African Republic)"
"232","Unidentified Communal Militia (Somalia)"
"233","Garbahaarey Communal Militia (Somalia)"
"234","KM5 Communal Militia (Central African Republic)"
"235","Unidentified Communal Militia (Sudan)"
"236","Unidentified Communal Militia (Kenya)"
"237","Igbeagu Communal Militia (Nigeria)"
"238","Muslim Militia (Nigeria)"
"239","Mayi Mayi Militia (Mazembe)"
"240","Hema Ethnic Militia (Democratic Republic of Congo)"
"241","Gony Clan Militia (South Sudan)"
"242","AMISOM: African Union Mission in Somalia (2007-) (Kenya)"
"243","Habar Jeclo-Bicido Sub-Clan Militia (Somalia)"
"244","Darood-Dhulbahante Sub-Clan Militia (Somalia)"
"245","Tajoura Communal Militia (Libya)"
"246","MNLC: National Movement for the Liberation of the Central African Republic"
"247","Unidentified Armed Group (Senegal)"
"248","MPC: Patriotic Movement for Central African Republic"
"249","Seleka Militia"
"250","Kuluna Communal Militia (Democratic Republic of Congo)"
"251","Bantu Ethnic Militia (Democratic Republic of Congo)"
"252","Toubou Ethnic Militia (Chad)"
"253","Kongor Communal Militia (South Sudan)"
"254","MONUSCO: United Nations Organization Stabilization Mission in Democratic Republic of Congo (2010-)"
"255","Pakam-Agar Clan Militia (South Sudan)"
"256","AMISOM: African Union Mission in Somalia (2007-) (Djibouti)"
"257","Militia (Miners)"
"258","SPLM-In Opposition- Deng Gai: Sudan People's Liberation Movement-In Opposition (Taban Deng Gai Faction)"
"259","ARDUF: Afar Revolutionary Democratic Unity Front"
"260","Mungiki Militia"
"261","Zintan Ethnic Militia (Libya)"
"262","Fulani Ethnic Militia (Ghana)"
"263","Jamaa Ansar al-Islam"
"264","Tarabeen Clan Militia (Egypt)"
"265","We Ethnic Militia (Ivory Coast)"
"266","SLM/A-Minnawi: Sudan Liberation Movement/Army (Minnawi Faction)"
"267","FPRC: Popular Front for the Renaissance of Central Africa (Amidou Faction)"
"268","Kuac Communal Militia (South Sudan)"
"269","Unidentified Communal Militia (Ghana)"
"270","Al-Kanni Brigade"
"271","Mayi Mayi Militia (Simba)"
"272","Janjaweed"
"273","Islamist Militia (Burkina Faso)"
"274","SPLM-N: Sudan Peoples Liberation Movement (North)"
"275","BDM: Bundu Dia Mayala"
"276","Waat-Gok Sub-Clan Militia (South Sudan)"
"277","Batwa Ethnic Militia (Democratic Republic of Congo)"
"278","Majeerteen-Dashishe Sub-Clan Militia (Somalia)"
"279","ASWJ: Ahlu Sunna Wal Jamaa"
"280","LRA: Lords Resistance Army"
"281","Apuk Ethnic Militia (South Sudan)"
"282","Kadara Ethnic Militia (Nigeria)"
"283","Mayi Mayi Militia (Kakule)"
"284","Unidentified Ethnic Militia (Kenya)"
"285","Misratah Communal Militia (Libya)"
"286","Wanikade Communal Militia (Nigeria)"
"287","Rup Clan Dinka Ethnic Militia (South Sudan)"
"288","El Feth Brigade"
"289","Militia (Kamwina Nsapu)"
"290","ONLF: Ogaden National Liberation Front"
"291","Tripoli Revolutionaries Brigade"
"292","Isiolo Communal Militia (Kenya)"
"293","Militia (Pro-Government)"
"294","Mathiang Anyoor"
"295","Unidentified Armed Group (Sudan)"
"296","AGUDM: Patriotic Ginbot 7 for Unity and Democratic Movement"
"297","Bor Clan Dinka Ethnic Militia (South Sudan)"
"298","BDK: Bunda Dia Kongo"
"299","Rizaygat Ethnic Militia (Sudan)"
"300","Odukpani Ethnic Militia (Nigeria)"
"301","Dinka Ethnic Militia (South Sudan)"
"302","Ikot Offiong Communal Militia (Nigeria)"
"303","Salamat Ethnic Militia (Sudan)"
"304","Eastern Lakes Communal Militia (South Sudan)"
"305","Pende Communal Militia (Democratic Republic of Congo)"
"306","Chokwe Ethnic Militia (Democratic Republic of Congo)"
"307","Dhulbahante Clan Militia (Somalia)"
"308","Kababeesh Ethnic Militia (Sudan)"
"309","Hamar Ethnic Militia (Sudan)"
"310","Bambara Ethnic Militia (Mali)"
"311","Samburu Ethnic Militia (Kenya)"
"312","Borana Ethnic Militia (Kenya)"
"313","Yoruba Ethnic Militia (Nigeria)"
"314","Ansaroul Islam"
"315","Didinga Ethnic Militia (South Sudan)"
"316","Abgal-Celi Sub-Clan Militia (Somalia)"
"317","Islamist Militia (Mali)"
"318","Rubkona Communal Militia (South Sudan)"
"319","Soldiers of the Caliphate"
"320","Unidentified Communal Militia (Togo)"
"321","Unidentified Armed Group (Madagascar)"
"322","BSF: Bakassi Strike Force"
"323","Al Mourabitoune Battalion"
"324","Unidentified Armed Group (Togo)"
"325","NDM: National Democratic Movement"
"326","BRSC: Shura Council of Benghazi Revolutionaries"
"327","MDF: Mabanese Defence Forces"
"328","Ormale Clan Militia (Somalia)"
"329","Militia (Waminene)"
"330","OLF: Oromo Liberation Front"
"331","Rwenzururu Royal Militia"
"332","Shawa Communal Militia (Nigeria)"
"333","Masalit Ethnic Militia (Sudan)"
"334","Militia (Refugees/IDPs)"
"335","AMISOM: African Union Mission in Somalia (2007-) (Burundi)"
"336","Biyamal Clan Militia (Somalia)"
"337","UPC: Union of Congolese Patriots"
"338","Hausa Ethnic Militia (Niger)"
"339","Militia (Elements)"
"340","Saad Clan Militia (Somalia)"
"341","Agwelek Forces"
"342","Gedeo Ethnic Militia (Ethiopia)"
"343","AQIM: Al Qaeda in the Islamic Maghreb"
"344","Ninjas Militia (Nsiloulou Faction)"
"345","Amhara Tegadlo"
"346","Mbororo Ethnic Militia (Democratic Republic of Congo)"
"347","Unidentified Armed Group (Tanzania)"
"348","UN: United Nations"
"349","Ayr Clan Militia (Somalia)"
"350","NDA: Niger Delta Avengers"
"351","Brigades for the Defence of Benghazi"
"352","M23: March 23 Movement"
"353","Bang Communal Militia (Central African Republic)"
"354","Dhulbahante-Baharsame Sub-Clan Militia (Somalia)"
"355","Toposa Ethnic Militia (South Sudan)"
"356","Fulani Ethnic Militia (Central African Republic)"
"357","Dhusamareb Communal Militia (Somalia)"
"358","Agatu Ethnic Militia (Nigeria)"
"359","Kuei Ethnic Militia (South Sudan)"
"360","Ndoro Ethnic Militia (Nigeria)"
"361","Kuteb Ethnic Militia (Nigeria)"
"362","Zawiya Communal Militia (Libya)"
"363","Lobi Ethnic Militia (Ivory Coast)"
"364","Unidentified Armed Group (Uganda)"
"365","Dinka Aguok Ethnic Militia (South Sudan)"
"366","Bashir Sadawi Brigade"
"367","Ajdabiya Revolutionaries Shura Council"
"368","Abala Ethnic Militia (Sudan)"
"369","SSAF: South Sudan Armed Forces"
"370","Mayi Mayi Militia (Union of Patriots for the Defense of the Innocents)"
"371","Saleban Clan Militia (Somalia)"
"372","Jejele Clan Militia (Somalia)"
"373","RENAMO: Mozambican National Resistance"
"374","Majeerteen-Omar Mahmud Sub-Clan Militia (Somalia)"
"375","Zwai Ethnic Militia (Libya)"
"376","Al-Falata Ethnic Militia (Sudan)"
"377","GMA: Mourabitounes Group of Azawad"
"378","Mayi Mayi Militia (Raia Mutomboki)"
"379","Abgal-Daud Clan Militia (Somalia)"
"380","Private Security Forces (Somalia)"
"381","Tuareg Ethnic Militia (Libya)"
"382","Unidentified Armed Group (Ghana)"
"383","Chaamba Ethnic Militia (Algeria)"
"384","Habbaniyah Ethnic Militia (Sudan)"
"385","NDC-C: Nduma Defense of Congo (Cheka)"
"386","Murule Clan Militia (Somalia)"
"387","Ansar Dine"
"388","Garre Ethnic Militia (Kenya)"
"389","REMNASA: Revolutionary Movement for National Salvation"
"390","Abgal-Kabale Sub-Clan Militia (Somalia)"
"391","Laikipia Communal Militia (Kenya)"
"392","Unidentified Ethnic Militia (Somalia)"
"393","Misseriya Ethnic Militia (South Sudan)"
"394","Fulani Ethnic Militia (Cameroon)"
"395","Unidentified Armed Group (Kenya)"
"396","SPLF: Sudan Peoples Liberation Front"
"397","Ologba Communal Militia (Nigeria)"
"398","101 Battalion (Tajoura)"
"399","Unidentified Armed Group (Egypt)"
"400","Wershefana Communal Militia (Libya)"
"401","White Army (South Sudan)"
"402","Ziyadiyah Ethnic Militia (Sudan)"
"403","Islamist Militia (Egypt)"
"404","Faa Communal Militia (Nigeria)"
"405","Private Security Forces (Libya)"
"406","Ansar al-Sharia"
"407","Shura Council of Darnah Mujahidin"
"408","Revolutionary Punishment"
"409","Militia (Ibrahim Jadran)"
"410","Habar Gedir-Ayr Sub-Clan Militia (Somalia)"
"411","BVYG: Borno Vigilance Youths Group"
"412","Unidentified Ethnic Militia (Nigeria)"
"413","Unidentified Ethnic Militia (Sudan)"
"414","SLMJ-TH: Sudan Liberation Movement for Justice (Taher Hajar Faction)"
"415","Eggon Ethnic Militia (Nigeria)"
"416","Maiha Communal Militia (Nigeria)"
"417","Unidentified Communal Militia (Niger)"
"418","Al Qaqa Brigade"
"419","Ansar Beit al-Maqdis"
"420","Unidentified Communal Militia (Democratic Republic of Congo)"
"421","Gharyan Communal Militia (Libya)"
"422","Unidentified Armed Group (Guinea-Bissau)"
"423","Libya Shield Brigade"
"424","Bari Ethnic Militia (South Sudan)"
"425","Jukun Ethnic Militia (Nigeria)"
"426","Majangir Ethnic Militia (Ethiopia)"
"427","Rahanweyn-Leeysan Sub-Clan Militia (Somalia)"
"428","MAA: Arab Movement of the Azawad"
"429","SLMJ: Sudan Liberation Movement for Justice"
"430","Bakonzo Ethnic Militia (Uganda)"
"431","Al Ziyud Ethnic Militia (Sudan)"
"432","Awlad Omran Ethnic Militia (Sudan)"
"433","Garre Ethnic Militia (Ethiopia)"
"434","Ayiel-Gok Sub Clan Militia (South Sudan)"
"435","Alkamba Ethnic Militia (Central African Republic)"
"436","Zurug Ethnic Militia (Sudan)"
"437","MNLA: National Movement for the Liberation of Azawad"
"438","JEM-Sudan: Justice and Equality Movement (Sudan Faction)"
"439","Unidentified Armed Group (Ivory Coast)"
"440","UNMISS: United Nations Mission in the Republic of South Sudan (2011-)"
"441","Darfur Joint Resistance Forces"
"442","Militia (Musa Hilal)"
"443","FPR: Popular Front for the Recovery"
"444","MUJAO: Movement for Unity and Jihad in West Africa"
"445","Christian Militia (Central African Republic)"
"446","Unidentified Ethnic Militia (South Sudan)"
"447","Muslim Brotherhood"
"448","SLM/A-Karbino: Sudan Liberation Movement/Army (Karbino Faction)"
"449","Maasai Ethnic Militia (Tanzania)"
"450","Mbororo Ethnic Militia (Central African Republic)"
"451","Unidentified Armed Group (Republic of Congo)"
"452","SRF: Sudan Revolutionary Front"
"453","Mahariya Ethnic Militia (Sudan)"
"454","Abgal-Mohamed Muse Sub-Clan Militia (Somalia)"
"455","Unidentified Clan Militia (Egypt)"
"456","Shiidle Clan Militia (Somalia)"
"457","Yau Yau Rebels"
"458","Shuwa Ethnic Militia (Nigeria)"
"459","Raskamboni Brigade"
"460","Konianke Ethnic Militia (Guinea)"
"461","Egbema Ethnic Militia (Nigeria)"
"462","Bani Hussein Ethnic Militia (Sudan)"
"463","Beni Halba Ethnic Militia (Sudan)"
"464","Militia (Anti-Al Shabaab)"
"465","Katenda Communal Militia (Democratic Republic of Congo)"
"466","FPC: Forces of Congolese Patriots"
"467","EUFF: Ethiopian Unity and Freedom Force"
"468","SLM/A-Unity: Sudan Liberation Movement/Army (Unity Faction)"
"469","Tarok Ethnic Militia (Nigeria)"
"470","Mayi Mayi Militia (Shetani)"
"471","Tigers Militia"
"472","Pokot Ethnic Militia (Kenya)"
"473","Nuer Ethnic Militia (Sudan)"
"474","Seleka Rebel Coalition"
"475","Amagu Communal Militia (Nigeria)"
"476","Orma Ethnic Militia (Kenya)"
"477","Mayi Mayi Militia (Morgan Ekasambaza)"
"478","UFDR: Union of Democratic Forces for Unity"
"479","Pokomo Ethnic Militia (Kenya)"
"480","Dinka Ngok Ethnic Militia (Sudan)"
"481","Panyon Communal Militia (South Sudan)"
"482","Malinke Ethnic Militia (Ivory Coast)"
"483","MRPC: Popular Resistance Movement of Congo"
"484","Mayi Mayi Militia (Cheka)"
"485","Unidentified Ethnic Militia (Libya)"
"486","Christian Militia (Nigeria)"
"487","El-Mashashia Ethnic Militia (Libya)"
"488","Unidentified Armed Group (Liberia)"
"489","Former CNDP: National Congress for the Defence of the People"
"490","MEND: Movement for the Emancipation of the Niger Delta"
"491","Galgala Communal Militia (Somalia)"
"492","SVS: Shabelle Valley State Forces"
"493","Ezza Ethnic Militia (Nigeria)"
"494","MFDC: Movement of Democratic Forces of Casamance"
"495","Muslim Youth Sect Militia (Nigeria)"
"496","FNL: National Forces of Liberation"
"497","Majeerteen Ugaar-Saleban Sub-Clan Militia (Somalia)"
"498","SSLM/A: South Sudan Liberation Movement/Army"
"499","Operation Unified Protector: NATO Mission in Libya (2011-2011)"
"500","CPJP: Convention of Patriots for Justice and Peace"
"501","SLM/A: Sudan Liberation Movement/Army"
"502","Shilluk Ethnic Militia (Sudan)"
"503","Murle Ethnic Militia (Sudan)"
"504","Ali Jibrail Clan Militia (Somalia)"
"505","Lou Nuer Ethnic Militia (Sudan)"
"506","Tuareg Ethnic Militia (Mali)"
"507","Toposa Ethnic Militia (Kenya)"
"508","Philip Bepan Rebel Group"
"509","SSDF: South Sudan Defence Forces"
"510","Muslim Militia (Egypt)"
"511","Private Security Forces (Ivory Coast)"
"512","Merrile Ethnic Militia (Ethiopia)"
"513","Unidentified Armed Group (Morocco)"
"514","Militia (Pro-Laurent Gbagbo)"
"515","Militia (Gabriel Tang)"
"516","Bajju Ethnic Militia (Nigeria)"
"517","PDF: Popular Defence Forces"
"518","Libyan Rebel Forces"
"519","Olonyi Rebel Group"
"520","Lith-Twic East Clan Militia (South Sudan)"
"521","Militia (Pro-Alassane Ouattara)"
"522","Islamic Emirate of Barqa"
"523","George Athor Deng Rebel Group"
"524","Guere Ethnic Militia (Ivory Coast)"
"525","Al Qaeda"
"526","COJEP: Young Patriots"
"527","FESCI: Student Federation of Ivory Coast"
"528","Polisario Front"
"529","HI: Hizbul Islam"
"530","Al-Saada Ethnic Militia (Sudan)"
"531","PDP: Peoples Democratic Party"
"532","NALU: National Army for the Liberation of Uganda"
"533","FPRN: Popular Front for National Rebirth"
"534","RSADO: Red Sea Afar Democratic Organisation"
"535","Berom Ethnic Militia (Nigeria)"
"536","Enyele Ethnic Militia (Democratic Republic of Congo)"
"537","Agoumar Communal Militia (Central African Republic)"
"538","Hawiye Clan Militia (Somalia)"
"539","Qubeys Clan Militia (Somalia)"
"540","Gok Ethnic Militia (Sudan)"
"541","CSRD: Supreme Council for the Restoration of Democracy"
"542","APRD: Popular Army for the Restoration of the Republic and Democracy"
"543","Dinka Ethnic Militia (Sudan)"
"544","Kalo-Kato Militia"
"545","ENSF: Eritrean National Salvation Front"
"546","Resistance Patriots of Dongo"
"547","Mundari Ethnic Militia (Sudan)"
"548","Zaghawa Ethnic Militia (Sudan)"
"549","Toposa Ethnic Militia (Sudan)"
"550","Private Security Forces (Sudan)"
"551","Mayi Mayi Militia (Kifuafua)"
"552","ATNMC: North Mali Tuareg Alliance for Change"
"553","MINURCAT: United Nations Mission in the Central African Republic and Chad (2007-2010)"
"554","Luach Jang Ethnic Militia (Sudan)"
"555","MONUC: United Nations Organization Mission in Democratic Republic of Congo (1999-2010)"
"556","Mayi Mayi Militia (PARECO)"
"557","Witch Hunters Militia (Gambia)"
"558","TGV: Determined Malagasy Youth"
"559","Hawazmah Ethnic Militia (Sudan)"
"560","FNCI: New Forces of Ivory Coast"
"561","Jie Ethnic Militia (Uganda)"
"562","FPJC: Popular Front for Justice in Congo"
"563","Dodoth Ethnic Militia (Uganda)"
"564","FUC: United Front for Change"
"565","Murle Ethnic Militia (Kenya)"
"566","NDDSC: Niger Delta Defence and Security Council"
"567","Hubeer Clan Militia (Somalia)"
"568","JEM-UFN: Justice and Equality Movement (Unity Faction Nur)"
"569","Unidentified Armed Group (Zimbabwe)"
"570","National Alliance of Chad"
"571","ZANU-PF: Zimbabwe African National Union-Patriotic Front"
"572","Bokora Ethnic Militia (Uganda)"
"573","MNJ: Nigerien Movement for Justice"
"574","SLDF: Sabaot Land Defence Force"
"575","Kalenjin Ethnic Militia (Kenya)"
"576","Busia Communal Militia (Kenya)"
"577","Murahaleen Ethnic Militia (Sudan)"
"578","UFDD: Union of Forces for Democracy and Development"
"579","Liberators of the Southern Cameroon"
"580","PRM: Popular Resistance Movement in the Land of the Two Migrations"
"581","PALIPEHUTU-FNL: National Forces for Liberation-Party for the Liberation of the Hutu People"
"582","Zaghawa Ethnic Militia (Chad)"
"583","ADC: Democratic Alliance of 23rd May for Change"
"584","Gabra Ethnic Militia (Kenya)"
"585","Al-Sunna wal Jamma Militia"
